,Geschlecht,Ihr Alter in Jahren:,Wie häufig machen Sie in der Woche Sport?,Welche Sportarten machen Sie? (mehrere Antworten möglich),"Haben Sie schonmal Sport-Apps genutzt? (Z.B. Apple Sports, Adidas Running App, Komoot, Nike Training Club, Freeletics, Urban Sports Club, Stava, etc.)  ",Wie oft benutzen Sie eine Sport-App?  ,Wofür benutzen Sie Sport-Apps? (mehrere Antworten möglich)  ,"Glauben Sie, dass Sie Ihre Sportlichen Ziele durch Benutzung einer Sport-App effizienter erreichen können? ","Motiviert es Sie, wenn Sie Ihre Leistungen mit denen Ihrer Freunde vergleichen?  ",Amotivation,External Regulation,Introjected Regulation,Identified Regulation,Integrated Regulation,Intrinsic Motivation
100,Männlich,28,5-6 mal die Woche,"Joggen, Kraftsport, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Fitness-Kurse",Ja,Bei dem Großteil meiner Trainings,"Um das Training meiner Freunde zu verfolgen, Um Kurse zu Buchen, Um motivierter zu sein beim Sport",Ja,Nein,1.75,4.0,5.0,4.75,5.0,5.0
102,Weiblich,25,5-6 mal die Woche,"Joggen, Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um motivierter zu sein beim Sport",Ja,Nein,1.5,2.25,4.25,4.0,5.0,3.75
103,Männlich,22,1-2 mal die Woche,"Joggen, Tanzen",Nein,Bei wenigen Trainings,Um Kurse zu Buchen,Ja,Nein,3.25,3.75,3.75,3.5,3.5,3.25
104,Männlich,24,3-4 mal die Woche,"Joggen, Kraftsport, Schwimmen, Fitness-Kurse",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um einen Sport-Zeitplan zu erstellen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein,2.5,2.75,3.0,4.25,3.5,4.0
105,Männlich,26,5-6 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Schwimmen, Calisthenics",Ja,Bei dem Großteil meiner Trainings,Um einen Sport-Zeitplan zu erstellen,Ja,Nein,1.0,1.0,2.75,1.75,2.5,2.5
106,Männlich,26,3-4 mal die Woche,"Kraftsport, Schwimmen, Bouldern",Ja,Bei jedem Training,Um Kurse zu Buchen,Nein,Ja,1.75,1.5,3.5,2.75,2.5,3.0
107,Weiblich,31,5-6 mal die Woche,"Joggen, Yoga",Ja,Bei dem Großteil meiner Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen",Ja,Ja,2.25,2.75,3.75,2.5,3.75,3.5
108,Weiblich,65,5-6 mal die Woche,Walken,Nein,Nie,Benutze keine Sportapp,Nein,Nein,1.0,1.0,2.0,1.0,1.0,1.0
110,Weiblich,64,3-4 mal die Woche,Fitness-Kurse,Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um Kurse zu Buchen, Fuer hiit training",Ja,Nein,1.5,2.0,4.75,3.5,3.5,4.25
111,Männlich,24,3-4 mal die Woche,Badminton,Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um das Training meiner Freunde zu verfolgen",Ja,Ja,2.5,2.25,3.75,3.5,3.75,4.25
112,Weiblich,26,1-2 mal die Woche,"Ballsportarten (z.B. Fußball, Handball, Basketball, etc.), Fitness-Kurse",Ja,Bei wenigen Trainings,"Zum Tracken meiner Leistungen, Um mir Ziele zu setzen, Um motivierter zu sein beim Sport",Ja,Nein,1.5,1.0,2.25,2.75,2.75,2.25
